scene,floor,distance_m,predicate,msp_question,ann_ok,ann_ts,ann_pos_x,ann_pos_y,ann_pos_z,ann_yaw_rad,ann_m,ann_n,ann_scale_x,ann_scale_y,ann_scale_z,ann_aabb_min_x,ann_aabb_min_y,ann_aabb_min_z,ann_aabb_max_x,ann_aabb_max_y,ann_aabb_max_z,ann_volume,anchor_sid,anchor_label,anchor_center_x,anchor_center_y,anchor_center_z,GT Object 1,GT Object 2
00327-xgLmjqzoAzF,1,4,in front of,Where is 4 meters in front of L shaped sofa?,1,1772045819.65611,5.967695,0.790301,5.070904,-2.758768,2,2,0.15,0.15,0.15,5.818178,0.640417,4.920937,6.117452,0.940134,5.220856,0.01418652,219,couch,8.730154,0.263526,2.560984,treadmill,appliance
00135-HeSYRw7eMtG,1,1,above,Where is 1 meters above kitchen island?,1,1772046414.71023,5.514293,1.987226,-5.188938,-0.132049,2,2,0.15,0.15,0.15,5.364532,1.837452,-5.338794,5.663777,2.136777,-5.039065,0.01418652,531,kitchen island,4.988008,0.623794,-4.729333,pots,ceiling
00062-ACZZiU6BXLz,3,0.5,above,Where is 0.5 meters above stool?,1,1772046726.77075,5.879082,0.935345,1.273892,-1.525964,2,2,0.15,0.15,0.15,5.729233,0.785445,1.124123,6.028932,1.085103,1.423812,0.01418652,424,stool,6.01364,0.364863,1.636044,kitchen counter,bouquet
00720-8B43pG641ff,0,0.5,right of,Where is 0.5 meters right of bird decoration on the wall?,1,1772047226.2738,-11.34174,1.928817,-0.671948,1.187715,2,2,0.15,0.15,0.15,-11.491736,1.778884,-0.821687,-11.191782,2.078573,-0.522328,0.01418652,677,decoration,-11.152392,1.987157,0.351735,decoration,wall
00149-UuwwmrTsfBN,1,2.5,left of,Where is 2.5 meters left of dining table chair near the window?,1,1772047700.94328,5.043652,0.920557,-12.940209,-1.877177,2,2,0.15,0.15,0.15,4.8939,0.770597,-13.089667,5.193424,1.070363,-12.790492,0.01418652,882,chair,2.403636,0.589972,-12.612268,door,refrigerator
00023-zepmXAdrpjR,1,2.5,right of,Where is 2.5 meters right of couch?,1,1772047955.22742,0.18293,0.717502,3.191811,0.007078,2,2,0.15,0.15,0.15,0.033163,0.567734,3.041856,0.332413,0.867243,3.341794,0.01418652,422,couch,2.664273,0.084187,3.849727,dining table,chair
00025-ixTj1aTMup2,1,1,in front of,Where is 1 meters in front of toilet?,1,1772048254.50575,-3.932698,3.393316,0.920476,0.341315,2,2,0.15,0.15,0.15,-4.082643,3.243322,0.770751,-3.783009,3.54326,1.070108,0.01418652,215,toilet,-3.87265,3.48521,2.329796,sink cabinet,weighing machine
00062-ACZZiU6BXLz,0,1,left of,Where is 1 meter left of entrance door?,1,1772048574.81992,0.420171,0.993018,1.233614,1.519641,2,2,0.15,0.15,0.15,0.270367,0.843279,1.083648,0.569975,1.14288,1.383409,0.01418652,306,door,0.063095,1.469598,-0.112806,tv,wall
00262-1xGrZPxG1Hz,5,1,below,Where is 1 meter below water heater?,1,1772048844.34296,-0.191021,0.469915,-0.824257,-1.232347,2,2,0.15,0.15,0.15,-0.340909,0.319965,-0.974101,-0.041167,0.619806,-0.674568,0.01418652,417,water heater,0.423308,1.338501,-0.614353,box,ladder
00410-v7DzfFFEpsD,1,2,right of,Where is 2.0 meters right of the TV?,1,1772042957.51713,14.463153,1.254307,-0.22644,0.024305,2,2,0.15,0.15,0.15,14.313264,1.104349,-0.376212,14.612758,1.4042,-0.07668,0.01418652,16,tv,14.45693,1.71681,1.356384,Foot stool,rug
00262-1xGrZPxG1Hz,0,1.5,left of,Where is 1.5 meters to the left of the door?,1,1772043113.99211,-2.836003,1.489054,4.321527,-1.529048,2,2,0.15,0.15,0.15,-2.985872,1.339528,4.17166,-2.686134,1.638811,4.471444,0.01418652,317,door,-4.34128,0.601714,4.520386,wall,door frame
00256-92vYG1q49FY,0,1,right of,Where is 1.0 meter right of dining table?,1,1772043319.72566,0.217544,-1.715475,1.563486,-1.47406,2,2,0.15,0.15,0.15,0.067607,-1.865297,1.413501,0.367478,-1.56549,1.713308,0.01418652,734,table,-1.003495,-2.235008,1.876479,cabinet,lamp
00525-iKFn6fzyRqs,1,2,in front of,Where is 2.0 meters in front of the picture on the wall?,1,1772043647.53249,0.778623,1.545086,0.099192,3.053559,2,2,0.15,0.15,0.15,0.628953,1.395146,-0.050521,0.928575,1.694895,0.248902,0.01418652,6,picture,-1.932472,1.657296,-0.077437,bed,cabinet
00366-fxbzYAGkrtm,1,1,left of,Where is 1.0 meter to the left of bathtub?,1,1772043789.11106,3.442085,0.948077,12.82095,-3.02461,2,2,0.15,0.15,0.15,3.292586,0.798176,12.67104,3.591865,1.098004,12.970893,0.01418652,392,bathtub,1.898885,0.379095,12.422226,bathroom sink,towel
00388-pcpn6mFqFCg,0,0.5,behind,Where is 0.5 meters behind the purple armchair?,1,1772043915.43256,12.803759,0.75119,3.308822,-1.798167,2,2,0.15,0.15,0.15,12.653817,0.601469,3.158852,12.953715,0.900997,3.458659,0.01418652,33,armchair,11.976776,0.309433,3.359734,couch,lamp
00706-YHmAkqgwe2p,0,2,in front of,Where is 2.0 meters in front of the TV stand table?,1,1772044086.58693,-9.007815,0.884604,-1.09246,-3.080437,2,2,0.15,0.15,0.15,-9.157532,0.734767,-1.242139,-8.857816,1.034596,-0.94272,0.01418652,205,stand/small table,-9.380026,0.070946,0.469071,arm chair,couch
00582-TYDavTf8oyy,0,2,in front of,Where is 2.0 meters in front of the door towards the room?,1,1772044222.18545,1.201269,-2.052153,-10.107797,-1.532985,2,2,0.15,0.15,0.15,1.051377,-2.202033,-10.257678,1.351162,-1.902459,-9.958007,0.01418652,237,door,-1.375489,-1.328329,-4.394426,exercise machine,box
00557-fRZhp6vWGw7,1,1,right of,Where is 1.0 meter to the right of the lamp?,1,1772044377.19119,2.441212,1.039042,-2.548967,-1.648315,2,2,0.15,0.15,0.15,2.291389,0.889102,-2.698885,2.591038,1.188705,-2.399034,0.01418652,145,lamp,2.462151,1.26459,-3.830923,wall,picture
00025-ixTj1aTMup2,0,0.5,in front of,Where is 0.5 meters in front of the picture featuring women?,1,1772044562.13891,-1.411708,1.33456,-3.920533,-1.84907,2,2,0.15,0.15,0.15,-1.561634,1.184687,-4.070407,-1.261763,1.48451,-3.770872,0.01418652,342,picture,5.24525,1.543153,-0.805749,couch,pillow
00217-qz3829g1Lzf,3,1.5,behind,Where is 1.5 meter behind the basket?,1,1772044869.80658,3.418682,0.52806,1.478775,-1.426836,2,2,0.15,0.15,0.15,3.268707,0.378204,1.328946,3.568651,0.677704,1.628628,0.01418652,493,basket,2.818469,0.071388,2.673062,couch,pillow
00207-FRQ75PjD278,0,2,behind,Where is 2.0 meters behind the beam towards the kitchen?,1,1772044983.91242,1.563008,1.50554,-3.971159,0.507671,2,2,0.15,0.15,0.15,1.413259,1.355746,-4.121134,1.712548,1.655315,-3.82125,0.01418652,268,beam,2.065603,1.607847,-1.550223,couch,pillow
00757-LVgQNuK8vtv,0,1.5,in front of,Where is 1.5 meters in front of the flower picture?,1,1772045297.49303,-0.26889,1.905519,0.20066,2.860228,2,2,0.15,0.15,0.15,-0.41855,1.755611,0.050731,-0.118971,2.055449,0.350596,0.01418652,49,picture,1.560677,1.746403,0.425096,magazine,coffee table
00245-741Fdj7NLF9,0,0,between,Where is between the two chairs?,1,1772045542.17216,2.763102,0.460065,2.45191,-1.671178,2,2,0.15,0.15,0.15,2.613154,0.310338,2.301949,2.913054,0.610046,2.601797,0.01418652,225,table,-2.048952,0.191207,12.621733,basket,coffee table
00313-PE6kVEtrxtj,0,2,behind,Where is 2.0 meters behind the kitchen counter towards the dining table?,1,1772045648.37785,-2.195883,0.627896,12.762208,-0.709787,2,2,0.15,0.15,0.15,-2.345857,0.478011,12.612276,-2.046075,0.777794,12.912032,0.01418652,299,countertop,2.937948,0.856223,4.217822,table,floor
00327-xgLmjqzoAzF,1,0.5,right of,Where is 0.5 meters to the right of the treadmill?,1,1772045852.08243,3.214152,1.040966,7.13342,2.040255,2,2,0.15,0.15,0.15,3.064297,0.890982,6.983458,3.364069,1.190763,7.283207,0.01418652,228,treadmill,6.872026,0.04673,5.46067,appliance,door
00135-HeSYRw7eMtG,1,1,in front of,Where is 1.0 meter in front of the fridge in kitchen?,1,1772046157.92427,5.396835,1.16065,4.995408,2.355483,2,2,0.15,0.15,0.15,5.247043,1.010907,4.845551,5.546764,1.310401,5.145255,0.01418652,593,refrigerator,6.368802,1.44744,-4.042508,kitchen island,pots
00062-ACZZiU6BXLz,3,1.5,in front of,Where is 1.5 meters in front of the mirror next to the staircase?,1,1772046351.24164,6.502751,1.442211,-5.728778,-0.001503,2,2,0.15,0.15,0.15,6.353034,1.292414,-5.878745,6.652185,1.59201,-5.578813,0.01418652,291,mirror,3.275704,1.42972,-0.529419,table ,decorative plant
00720-8B43pG641ff,0,1,below,Where is 1.0 meter below the deer decoration on the wall?,1,1772046596.18365,2.79171,1.163969,1.765865,-3.044243,2,2,0.15,0.15,0.15,2.642081,1.01431,1.615873,2.94162,1.313835,1.915846,0.01418652,676,decoration,-11.045051,2.03687,-0.847395,bed ,pillow
00149-UuwwmrTsfBN,1,0.5,behind,Where is 0.5 meters behind the kitchen island?,1,1772047223.86468,-10.946352,1.158559,-0.885886,0.515774,2,2,0.15,0.15,0.15,-11.096167,1.008842,-1.03569,-10.796746,1.308356,-0.736048,0.01418652,862,kitchen island,3.210815,0.561569,-9.335791,stove,cabinet
00023-zepmXAdrpjR,1,1.5,in front of,Where is 1.5 meters in front of the L shaped sofa?,1,1772047648.91199,2.22222,1.024758,-7.797832,-1.938222,2,2,0.15,0.15,0.15,2.072265,0.875049,-7.94774,2.372213,1.174653,-7.647913,0.01418652,493,l-shaped sofa,-3.982959,0.118134,4.280265,tv,lamp
00025-ixTj1aTMup2,1,0,between,Where is between bathtub and toilet?,1,1772047958.71032,-3.450097,1.314047,1.900708,-0.115085,2,2,0.15,0.15,0.15,-3.599893,1.164391,1.750899,-3.300584,1.463945,2.05051,0.01418652,214,trashcan,-3.499928,2.918177,2.500817,trashcan ,toilet paper
00062-ACZZiU6BXLz,1,1,left of,Where is 1.0 meter in front of the buffalo picture on the wall?,1,1772048182.66834,-3.567597,3.549907,2.69137,-3.088271,2,2,0.15,0.15,0.15,-3.717307,3.400099,2.541378,-3.417604,3.699656,2.841186,0.01418652,468,picture,8.616755,1.804974,-1.690056,chair,table
00262-1xGrZPxG1Hz,5,0.5,below,Where is 0.5 meters below the cat picture?,1,1772048578.24644,9.609581,1.676186,-2.052967,1.519807,2,2,0.15,0.15,0.15,9.459776,1.526514,-2.202951,9.759386,1.825777,-1.903186,0.01418652,393,picture,0.626677,1.541426,0.841772,washing machine,Water heater
00506-QVAA6zecMHu,0,0.5,right of,Where is 0.5 meters above the microwave?,1,1772436834.12543,3.234472,1.430162,-1.40102,-1.491858,2,2,0.15,0.15,0.15,3.084635,1.280527,-1.550853,3.384305,1.579944,-1.251059,0.01418652,188,microwave,2.851807,0.976692,-1.415147,picture,wall
00410-v7DzfFFEpsD,0,1,in front of,Where is 1 meters in front of the crib?,1,1772437053.03155,8.658813,0.599452,-4.907603,-0.551509,2,2,0.15,0.15,0.15,8.508827,0.449611,-5.057318,8.808594,0.74944,-4.757784,0.01418652,209,crib,7.623549,0.547953,-5.071824,rug,towel
00410-v7DzfFFEpsD,1,0,between,Where is the place between the fridge and chair?,1,1772437311.11198,7.739368,-2.160417,-0.68563,-2.341107,2,2,0.15,0.15,0.15,7.589524,-2.310011,-0.835497,7.889349,-2.010684,-0.535666,0.01418652,728,refrigerator,6.782297,-2.078201,0.748857,kitchen island,floor
00582-TYDavTf8oyy,0,1.2,above,Where is 1 meter above the small grey laundry basket?,1,1772437576.52543,-1.664893,4.529229,-8.916023,1.579233,2,2,0.15,0.15,0.15,-1.814888,4.379591,-9.065801,-1.514898,4.678876,-8.766521,0.01418652,447,laundry basket,-1.283287,3.600693,-8.835957,shelf,window
00669-DNWbUAJYsPy,0,0,between,Where is the place between the blue arm chair and bed?,1,1772437645.83602,11.264308,0.668936,-0.401878,0.52336,2,2,0.15,0.15,0.15,11.114441,0.51917,-0.551785,11.413967,0.818649,-0.251895,0.01418652,174,armchair,12.415907,0.587332,-1.073624,sofa seat,floor
00057-1UnKg1rAb8A,0,1,above,Where is 1 meter above the couch close to the door?,1,1772437712.37928,2.764644,-1.510933,-4.758931,-0.061374,2,2,0.15,0.15,0.15,2.614645,-1.660762,-4.908848,2.914361,-1.360987,-4.609027,0.01418652,20,couch,2.666324,-2.301749,-4.148443,tv,toy
00149-UuwwmrTsfBN,0,2,towards,Where is 2 meters from the TV when we go towards the direction of the kitchen?,1,1772438073.24961,-1.322004,1.10894,-8.496079,-1.632984,2,2,0.15,0.15,0.15,-1.471714,0.959156,-8.645849,-1.172294,1.25877,-8.346085,0.01418652,918,tv,-3.147733,1.148425,-7.798077,sofa,picture
00386-b3WpMbPFB6q,0,0.5,left of,Where is 0.5 meters to the left of the peg board with a note on it?,1,1772438315.53856,-14.993452,-1.935883,-3.972492,2.975671,2,2,0.15,0.15,0.15,-15.143138,-2.085798,-4.122485,-14.843491,-1.785995,-3.822505,0.01418652,673,board,-14.518628,-1.890872,-4.033831,wall,sewing kit
00023-zepmXAdrpjR,0,1.5,in front of,Where is 1.5 meters in front of the microwave?,1,1772438406.4371,2.342954,1.62287,0.577566,-2.462696,2,2,0.15,0.15,0.15,2.193136,1.473051,0.427849,2.492943,1.772852,0.727347,0.01418652,233,microwave,2.069953,1.597381,-0.878274,fridge,wall
00757-LVgQNuK8vtv,0,0,between,Where is the place between the bathtub and toilet seat?,1,1772438463.13329,-4.288989,3.227937,2.644521,-1.466975,2,2,0.15,0.15,0.15,-4.438953,3.078193,2.494594,-4.139029,3.377911,2.794451,0.01418652,454,bathtub,-5.106281,3.024577,3.757543,sink,floor
00025-ixTj1aTMup2,0,1,in front of,Where is 1 meter in front of the sink away from the bathroom door?,1,1772438653.71187,2.13781,3.863934,2.607509,-3.001134,2,2,0.15,0.15,0.15,1.988259,3.713979,2.4578,2.287637,4.013833,2.757163,0.01418652,167,bath sink,1.197507,3.96697,2.239694,cabinet,toilet seat
00669-DNWbUAJYsPy,1,1,in front of,Where is 1 meter in front of the lamp on the right hand side for someone sitting on the sofa?,1,1772438742.32317,3.896233,1.297062,1.670924,3.133041,2,2,0.15,0.15,0.15,3.746738,1.147398,1.52094,4.046012,1.446707,1.820923,0.01418652,43,lamp,3.666119,1.371351,2.670892,armchair,table
00326-u9rPN5cHWBg,0,2,right of,Where is 2 meters to the right of the bench in the corner?,1,1772439997.36667,6.237719,3.942365,-3.15486,-0.026043,2,2,0.15,0.15,0.15,6.08782,3.792489,-3.304655,6.387333,4.092332,-3.005073,0.01418652,1246,bench,8.281385,3.761811,-3.212045,dresser,art work
00057-1UnKg1rAb8A,1,1,in front of,Where is 1 meter in front of the clothes dryer?,1,1772440230.13739,6.491046,-2.163248,-3.055013,-1.658427,2,2,0.15,0.15,0.15,6.341158,-2.313234,-3.204974,6.640938,-2.013434,-2.905129,0.01418652,135,clothes dryer,6.495435,-2.21874,-4.067522,wall,mirror
00109-GTV2Y73Sn5t,0,1,near,Where is 1 meter near the exercise bike?,1,1772440339.37878,-7.788191,0.567384,0.950702,0.1568,2,2,0.15,0.15,0.15,-7.938116,0.417448,0.800796,-7.638543,0.71729,1.100672,0.01418652,71,exercise bike,-8.575717,0.41735,1.599749,cabinet,wall
00327-xgLmjqzoAzF,0,2,behind,Where is 2 meters in front of the large couch?,1,1772440442.17314,2.684254,0.417807,7.822927,1.578433,2,2,0.15,0.15,0.15,2.534258,0.26816,7.673189,2.834249,0.567529,7.972456,0.01418652,291,couch,0.81473,0.611653,6.998484,carpet,sofa chair
00109-GTV2Y73Sn5t,1,0.5,left of,Where is 0.5 meters to the left of the blue clock on the wall?,1,1772440530.08632,-5.906838,-0.77589,-1.586586,-0.104764,2,2,0.15,0.15,0.15,-6.056706,-0.925826,-1.736572,-5.757252,-0.626161,-1.436595,0.01418652,668,clock,-6.427086,-0.817486,-1.563932,door frame,wall
00025-ixTj1aTMup2,1,0.5,in front of,Where is 0.5 meters in front of the cabinet with plant on it?,1,1772440622.14895,4.296261,0.302382,-4.124077,-1.508161,2,2,0.15,0.15,0.15,4.146555,0.152426,-4.273993,4.445967,0.452265,-3.974357,0.01418652,425,cabinet,4.716354,0.485617,-4.105735,window,chair
00057-1UnKg1rAb8A,2,1,right of,Where is 1 meter the right of the ornaments on the wall?,1,1772441023.0502,-0.642431,-0.71071,-3.135766,1.692987,2,2,0.15,0.15,0.15,-0.792426,-0.860663,-3.285463,-0.492432,-0.560954,-2.986024,0.01418652,10,ornament,-0.599784,-0.792048,-4.15787,ornament,curtain
00062-ACZZiU6BXLz,0,2,in front of,Where is 1 meter in front of the dishwasher?,1,1772441254.88763,7.873359,0.647296,1.526932,2.959494,2,2,0.15,0.15,0.15,7.723637,0.49759,1.377037,8.023355,0.796941,1.676825,0.01418652,427,dishwasher,8.861893,0.509342,1.719946,kitchen island,floor
00757-LVgQNuK8vtv,1,1,in front of,Where is 1 meter in front of the large blue couch?,1,1772441302.67966,-1.153563,0.789959,0.665985,-2.260432,2,2,0.15,0.15,0.15,-1.303175,0.639989,0.51642,-1.003845,0.939863,0.815777,0.01418652,70,couch,-0.882035,0.550299,1.610127,table,plant
00166-RaYrxWt5pR1,0,1.5,behind,Where is 1.5 meters behind the bar stool on the right?,1,1772441395.45143,-1.187067,0.787346,4.219993,-0.078973,2,2,0.15,0.15,0.15,-1.337047,0.637616,4.070044,-1.037369,0.937111,4.369984,0.01418652,58,chair,-1.365942,0.73593,2.711125,armchair,floor
00557-fRZhp6vWGw7,0,0.5,above,Where is 0.5 meters above the sofa?,1,1772441427.88151,2.212841,-2.125587,-6.501512,0.463381,2,2,0.15,0.15,0.15,2.062883,-2.275217,-6.651431,2.362569,-1.975797,-6.351513,0.01418652,449,sofa,2.314483,-2.48969,-6.069285,picture,cushion
00025-ixTj1aTMup2,2,1,in front of,Where is 1 meter in front of the chair?,1,1772441495.9435,3.994148,-2.26196,-2.05026,-1.857379,2,2,0.15,0.15,0.15,3.844261,-2.411699,-2.200237,4.144055,-2.111977,-1.900432,0.01418652,611,chair,3.838959,-2.224255,-1.063427,bed,towel
00327-xgLmjqzoAzF,1,2,left of,Where is 2 meters left of the treadmill?,1,1772441942.45418,4.784195,1.311195,5.000427,2.241293,2,2,0.15,0.15,0.15,4.634432,1.161407,4.850681,4.934062,1.460992,5.150287,0.01418652,228,treadmill,6.381318,0.288053,4.723546,appliance ,door
00606-W16Bm4ysK8v,0,2,in front of,Where is 2 meters in front of the dressing table?,1,1772441987.51728,0.52908,3.625634,-4.994946,-2.740593,2,2,0.15,0.15,0.15,0.37943,3.475775,-5.144747,0.678967,3.775567,-4.845267,0.01418652,99,dressing table,-1.492983,3.47542,-5.012311,desk,chair
00062-ACZZiU6BXLz,1,1,above,Where is 1 meter above the kitchen island?,1,1772442114.92847,6.255697,1.702373,1.343091,-2.948845,2,2,0.15,0.15,0.15,6.105972,1.552658,1.193347,6.405695,1.852074,1.492828,0.01418652,422,kitchen island,5.910737,0.784508,1.112156,bouquet,kitchen cabinet
00324-DoSbsoo4EAg,0,1,left of,Where is 1 meter to the left of the toilet seat?,1,1772442236.81858,4.239493,0.534691,0.015329,-0.601645,2,2,0.15,0.15,0.15,4.089591,0.384699,-0.134568,4.389197,0.684559,0.165307,0.01418652,1,toilet,3.320825,0.481847,-0.081484,shower glass,shower wall
00035-3XYAD64HpDr,0,1,behind,Where is 1 meter behind the desk?,1,1772442359.32412,8.255783,0.821459,-3.21934,-0.81188,2,2,0.15,0.15,0.15,8.105785,0.671721,-3.369013,8.405647,0.971127,-3.06953,0.01418652,205,desk,7.302021,0.739993,-2.899464,monitor,photo mount
00606-W16Bm4ysK8v,1,0.5,right of,Where is 0.5 meters to the right of the bathtub?,1,1772442457.09217,-7.232228,0.310545,-6.257477,1.370181,2,2,0.15,0.15,0.15,-7.382035,0.160584,-6.407392,-7.082435,0.460426,-6.107618,0.01418652,16,bath,-7.384967,0.299065,-5.695192,toilet,vase
00203-VoVGtfYrpuQ,0,2,in front of,Where is 2.0 meters in front of the cabinet under the tv?,1,1772442591.39302,-5.431078,-1.44569,2.591326,2.845406,2,2,0.15,0.15,0.15,-5.580795,-1.595452,2.441498,-5.281102,-1.295927,2.740964,0.01418652,446,cabinet,-3.389307,-1.543473,2.634557,table,sofa
00404-QN2dRqwd84J,0,1,right of,Where is 1 meter to the right of the toilet?,1,1772442694.40106,8.623987,0.633967,3.558156,2.679186,2,2,0.15,0.15,0.15,8.474256,0.484218,3.408286,8.773949,0.783701,3.707915,0.01418652,18,toilet,8.714705,0.467209,2.528588,towel,sink
00323-yHLr6bvWsVm,0,2,in front of,Where is 2 meter in front of the red and yellow picture on the wall?,1,1772442779.01377,1.804298,1.445621,5.670155,-1.545054,2,2,0.15,0.15,0.15,1.654348,1.295904,5.520398,1.954248,1.595168,5.820025,0.01418652,15,picture,3.787267,1.536684,5.842249,table,chair
00529-W9YAR9qcuvN,0,1.5,above,Where is 1.5 meters above the bed?,1,1772442859.6458,8.491354,2.386624,3.000825,-3.053781,2,2,0.15,0.15,0.15,8.341683,2.236853,2.850852,8.641307,2.536314,3.15073,0.01418652,79,bed,8.566519,0.877046,2.981695,lamp,ceiling
00557-fRZhp6vWGw7,1,0.5,behind,Where is 0.5 meters behind the chest on the floor?,1,1772442989.09965,6.247203,0.259451,-6.036165,-0.54864,2,2,0.15,0.15,0.15,6.097224,0.109511,-6.186061,6.396976,0.409352,-5.886407,0.01418652,189,chest,6.645187,0.2043,-5.612611,armchair,wall
00025-ixTj1aTMup2,3,1,above,Where is 1 meter above the office chair?,1,1772443045.65736,4.336939,4.703281,2.330309,2.898173,2,2,0.15,0.15,0.15,4.187437,4.553297,2.180315,4.486713,4.853109,2.480306,0.01418652,148,office chair,4.33056,3.72156,2.123086,shelf,wall
00397-ZNanfzgCdm3,0,1,from,Where is the place 1 meter from the foot of the bed?,1,1772443173.35447,-0.426107,3.074037,-0.643151,-0.724481,2,2,0.15,0.15,0.15,-0.576024,2.924282,-0.792898,-0.276354,3.223907,-0.493556,0.01418652,381,bed,-0.90734,3.017491,-1.578579,window,chair
